"Story","Title","Result","Date","Stability","Duration (s)"
"Utilities CURD test with steps","Get the version of Application","SUCCESS","2022-06-05T15:09:57.896+01:00[Europe/London]","0.0","4.07"
"Utilities CURD test with steps","Get the Health check of Application","SUCCESS","2022-06-05T15:10:01.998+01:00[Europe/London]","0.0","0.29"
